ticker,date,close,volume
TWOU,6/1/2016,26.38,297213
TWOU,7/1/2016,25.23,635223
TWOU,8/1/2016,24.32,364477
TWOU,11/1/2016,23.72,405094
TWOU,12/1/2016,23.27,1012093
TWOU,13/1/2016,21.85,619523
TWOU,14/1/2016,22.32,799566
TWOU,15/1/2016,21.26,1000360
TWOU,19/1/2016,20.46,1166012
TWOU,20/1/2016,19.96,852695
TWOU,21/1/2016,20.48,573675
TWOU,22/1/2016,21.07,509694
TWOU,25/1/2016,20.06,404561
TWOU,26/1/2016,20.17,600400
TWOU,27/1/2016,19.62,425257
TWOU,28/1/2016,19.67,398081
TWOU,29/1/2016,20.19,513487
TWOU,1/2/2016,20.22,605432
TWOU,2/2/2016,19.15,455166
TWOU,3/2/2016,18.8,599972
TWOU,4/2/2016,19.18,559878
TWOU,5/2/2016,17.26,1051297
TWOU,8/2/2016,16.6,761860
TWOU,9/2/2016,15.91,748786
TWOU,10/2/2016,15.58,736059
TWOU,11/2/2016,15.46,491449
TWOU,12/2/2016,15.97,529115
TWOU,16/2/2016,17.56,1076492
TWOU,17/2/2016,18.04,933745
TWOU,18/2/2016,18.01,399258
TWOU,19/2/2016,18.28,317892
TWOU,22/2/2016,18.84,499755
TWOU,23/2/2016,18.22,510900
TWOU,24/2/2016,18.53,311549
TWOU,25/2/2016,18.9,507787
TWOU,26/2/2016,21.83,1773713
TWOU,29/2/2016,22.35,741167
TWOU,1/3/2016,23.05,785732
TWOU,2/3/2016,23.35,427780
TWOU,3/3/2016,24.48,775808
TWOU,4/3/2016,23.83,1238293
TWOU,7/3/2016,23.5,528529
TWOU,8/3/2016,22.55,432119
TWOU,9/3/2016,22.52,290189
TWOU,10/3/2016,23.11,401085
TWOU,11/3/2016,22.81,555641
TWOU,14/3/2016,22.48,344342
TWOU,15/3/2016,22.44,362974
TWOU,16/3/2016,22.44,404590
TWOU,17/3/2016,22.87,322405
TWOU,18/3/2016,22.46,718884
TWOU,21/3/2016,22.81,293947
TWOU,22/3/2016,22.4,406690
TWOU,23/3/2016,21.25,367294
TWOU,24/3/2016,21.49,445013
TWOU,28/3/2016,21.43,311724
TWOU,29/3/2016,22.97,515167
TWOU,30/3/2016,23.14,527940
TWOU,31/3/2016,22.6,527834
TWOU,1/4/2016,22.67,272406
TWOU,4/4/2016,22.74,295679
TWOU,5/4/2016,23.07,464271
TWOU,6/4/2016,23.12,242421
TWOU,7/4/2016,23.71,514099
TWOU,8/4/2016,23.76,324166
TWOU,11/4/2016,23.51,242682
TWOU,12/4/2016,23.71,303509
TWOU,13/4/2016,25.11,413032
TWOU,14/4/2016,24.65,242264
TWOU,15/4/2016,25.02,310503
TWOU,18/4/2016,25.42,436148
TWOU,19/4/2016,26.36,429384
TWOU,20/4/2016,26.78,427962
TWOU,21/4/2016,27.28,417086
TWOU,22/4/2016,27.75,384711
TWOU,25/4/2016,27.11,503849
TWOU,26/4/2016,27.31,306779
TWOU,27/4/2016,27.32,326337
TWOU,28/4/2016,27.82,471778
TWOU,29/4/2016,28.03,466707
TWOU,2/5/2016,28.4,682626
TWOU,3/5/2016,28.16,479894
TWOU,4/5/2016,26.97,693683
TWOU,5/5/2016,26.88,461086
TWOU,6/5/2016,28.43,849745
TWOU,9/5/2016,28.32,310533
TWOU,10/5/2016,27.3,582330
TWOU,11/5/2016,27.5,517522
TWOU,12/5/2016,26.77,416769
TWOU,13/5/2016,26.91,271273
TWOU,16/5/2016,27.35,405623
TWOU,17/5/2016,26.47,319673
TWOU,18/5/2016,27.28,404062
TWOU,19/5/2016,26.93,399105
TWOU,20/5/2016,26.86,315748
