Date,ADBE,APPF,AVLR,BL,BOX,COUP,CRM,CRWD,DBX,DDOG,DOCU,DOMO,ESTC,EVBG,FIVN,FSLY,HUBS,JCOM,MDLA,MIME,NET,NEWR,NOW,PAYC,PCTY,PD,PFPT,PLAN,PS,PYPL,QLYS,QTWO,RNG,RP,SHOP,SMAR,SQ,TEAM,TENB,TWLO,TWOU,VEEV,WDAY,WORK,ZEN,ZM,ZS,ZUO,OKTA,WIX,WK,YEXT
2/1/2020,334.42999269999996,113.4899979,78.05000305,52.59000015,17.23999977,153.57000730000001,166.9900055,49.43999863,18.09000015,36.70000076,75.90000153,21.04000092,65.79000092,79.98999786,66.76000214,21.5,162.57000730000001,95.63999939,31.01000023,44.22999954,17.03000069,68.05999756,291.23999019999997,271.7999878,126.77999879999999,24.34000015,117.2300034,53.77999878,17.0,110.75,84.23999786,82.81999969,173.1900024,54.59000015,407.80999760000003,45.84000015,63.83000183,122.8799973,24.45999908,103.1500015,23.53000069,143.3999939,167.46000669999998,23.02000046,79.98999786,68.72000122,47.33000183,14.76000023,117.31,127.55,43.36,14.64
3/1/2020,331.80999760000003,112.2699966,78.86000061,52.81000137,16.94000053,159.58000180000002,166.16999819999998,50.75,18.0,37.41999817,75.55999756,21.5,66.08000183,80.41999817,67.01000214,21.76000023,164.0,95.55999756,29.95999908,44.79000092,17.17000008,67.69000244,291.10000610000003,272.7099915,125.66999820000001,24.37999916,118.15000149999999,54.34999847,16.92000008,108.7600021,83.56999969,84.04000092,170.5,54.58000183,404.2900085,45.81000137,63.0,123.04000090000001,24.69000053,103.51999659999998,23.20999908,142.5099945,168.4400024,22.45999908,78.34999847,67.27999878,47.38000107,14.77000046,118.29,128.92,43.2,14.25
6/1/2020,333.7099915,112.97000120000001,80.06999969,53.66999817,17.31999969,164.7599945,173.4499969,55.11000061,18.53000069,39.90000153,75.38999939,22.69000053,67.80999756,82.23000336,68.33000183,21.86000061,167.0,96.05999756,30.70999908,46.15000153,17.69000053,68.09999847,292.86999510000004,278.0899963,128.8099976,24.63999939,120.4100037,55.09999847,17.26000023,110.16999820000001,84.87999725,85.25,177.0500031,54.56999969,413.32998660000004,45.81000137,62.56999969,127.6900024,25.44000053,107.45999909999999,23.96999931,144.1999969,169.4900055,23.52000046,80.93000031,70.31999969,48.70000076,14.67000008,123.43,131.63,43.45,14.77
7/1/2020,333.39001460000003,114.16999820000001,82.51000214,53.47000122,16.96999931,165.7599945,176.0,54.75,18.53000069,40.06000137,75.23999786,22.64999962,69.40000153,82.98999786,67.91000366,21.39999962,168.5,96.33000183,30.95000076,47.06999969,17.67000008,68.08000183,292.9100037,279.48999019999997,129.3999939,24.71999931,122.2300034,54.65999985,17.14999962,109.66999820000001,83.69000244,83.30000305,176.7299957,54.59000015,414.5,45.13999939,64.58999634,128.1499939,25.36000061,108.0599976,23.95999908,139.1999969,172.9499969,23.82999992,78.68000031,71.90000153,48.40000153,14.68999958,122.89,130.01,43.81,14.71
8/1/2020,337.86999510000004,115.3000031,82.13999939,55.04999924,16.86000061,167.46000669999998,177.33000180000002,55.65999985,18.45999908,39.95000076,76.26999664,22.61000061,69.76999664,82.94999695,70.19999695,21.79000092,173.0,97.44999695,31.47999954,47.84999847,17.78000069,69.13999939,295.64999389999997,283.11999510000004,130.2200012,25.27000046,123.84999850000001,55.95000076,17.43000031,111.8199997,84.05000305,84.13999939,180.8899994,55.20000076,418.10000610000003,45.15999985,67.59999847,130.0599976,26.0,109.3899994,24.0,141.6999969,178.71000669999998,23.77000046,79.80000305,72.55000305,50.75,14.65999985,125.55,133.78,44.09,14.77
9/1/2020,340.4500122,118.6200027,84.47000122,55.49000168,16.97999954,171.46000669999998,179.6000061,55.93999863,18.37000084,40.20999908,75.80000305,23.64999962,69.37000275,83.54000092,71.20500183,21.61000061,177.27999880000002,98.26000214,33.68999863,48.54999924,17.02000046,69.44999695,299.30999760000003,285.2900085,132.2299957,24.64999962,121.8700027,57.59000015,17.79999924,112.5699997,84.08000183,84.02999878,184.36999509999998,55.22000122,430.20001219999995,45.38999939,67.93000031,135.41000369999998,25.73999977,113.0199966,23.32999992,145.72000119999998,179.4799957,23.17000008,81.16000366,72.62000275,54.0,14.88000011,128.52,140.08,44.73,14.95
10/1/2020,339.80999760000003,120.0500031,83.59999847,55.27999878,16.80999947,169.6000061,180.1999969,57.20000076,17.81999969,40.15999985,74.83000183,24.19000053,69.22000122,83.66999817,71.15000153,21.22999954,175.7700043,99.08999634,33.45999908,48.79999924,17.47999954,67.30000305,298.88000489999996,285.57998660000004,132.3600006,24.20999908,121.8399963,56.75999832,17.89500046,112.9300003,83.58000183,83.15000153,183.4799957,56.0,429.17001339999996,45.15999985,67.98999786,133.8999939,25.57999992,115.7399979,21.51000023,145.5099945,180.1100006,23.12000084,81.80000305,73.08999634,55.0,15.02999973,129.39,140.26,45.35,14.95
13/1/2020,345.63000489999996,121.1399994,85.40000153,55.65999985,16.60000038,173.6399994,183.8500061,58.97000122,17.86000061,40.93999863,74.15000153,24.55999947,68.69000244,84.95999908,72.62000275,22.14999962,179.41999819999998,99.73999786,31.64999962,48.45999908,18.36000061,69.33000183,303.85000610000003,295.42999269999996,136.1900024,24.92000008,121.34999850000001,57.59000015,18.02000046,115.27999879999999,83.94999695,84.81999969,186.6900024,57.20000076,440.25,45.24000168,68.66000366,136.07000730000001,26.10000038,120.3399963,21.20999908,148.66000369999998,181.91999819999998,23.20000076,83.79000092,74.02999878,59.61999893,15.44999981,131.16,142.43,46.2,15.59
14/1/2020,344.63000489999996,121.0100021,85.18000031,56.45000076,16.21999931,171.1000061,182.11999509999998,59.24000168,18.00499916,39.27000046,72.80000305,24.29000092,70.66999817,85.66999817,71.91999817,22.04999924,179.53999330000002,100.1800003,32.5,48.99000168,18.70000076,70.66999817,301.5,286.51000980000003,135.1499939,24.70999908,122.4400024,57.04000092,19.05999947,114.6399994,84.08999634,83.94000244,185.78999330000002,57.02000046,441.2200012,44.43999863,68.16999817,134.22000119999998,26.01000023,119.0199966,21.45999908,147.77999880000002,179.9799957,22.28000069,83.23000336,73.16000366,59.54000092,15.34000015,129.03,142.74,45.8,15.34
15/1/2020,342.94000239999997,121.9300003,86.51000214,57.86000061,16.07999992,169.86999509999998,181.0599976,60.25,18.30999947,40.22999954,73.02999878,24.90999985,71.5,87.73999786,72.72000122,22.76000023,182.6000061,101.69000240000001,31.17000008,49.31000137,18.85000038,72.58999634,304.86999510000004,289.0899963,136.3500061,24.42000008,123.4400024,57.15000153,19.75,114.84999850000001,85.33999634,85.51000214,189.71000669999998,57.20999908,448.51000980000003,43.97000122,70.36000061,134.91000369999998,26.27000046,119.8799973,21.20999908,144.42999269999999,179.17999269999999,22.32999992,83.98999786,76.94000244,59.99000168,15.5,128.57,141.97,45.2,15.14
